Player,Team,Pos,G,MP,DIS,Z_Hustle,Z_Defense,Z_Difficulty,Z_D_LEBRON
PJ Dozier,MIN,SG,5,35,-7.320005473,-1.24314594,-0.073017345,-1.274275306,-0.498870444
Jalen Hood-Schifino,PHI,SG,15,315,-7.490967051,-1.052807496,-0.091224475,-1.407552017,-0.664385117
Tre Mann,CHA,PG,13,319,-7.525680361,-1.078381387,0.260400295,-0.948854736,-1.172751611
P.J. Tucker,NYK,SF,2,58,-7.678967108,-1.236750935,-1.608045336,0.511817942,-0.238775959
Immanuel Quickley,TOR,PG,32,918,-7.710379288,-0.503443538,-0.984771471,0.11351771,-1.302798854
D.J. Carton,TOR,SG,1,33,-7.733689381,-1.258476635,-0.850462811,-1.169458874,-0.02597138
Enrique Freeman,IND,PF,18,181,-7.745765942,-1.082054641,0.144399547,-2.479109236,-0.380645678
Corey Kispert,WAS,SF,60,1602,-7.826698708,-0.128229484,-0.034416052,-0.572300791,-2.165839647
Trentyn Flowers,LAC,SF,1,26,-7.835340214,-1.273340296,-0.524112195,-0.876553197,-0.463403014
Rob Dillingham,MIN,PG,36,516,-7.873459463,-0.844745808,0.406765169,-1.300796254,-1.468313527
Jahmir Young,CHI,PG,3,30,-7.881132444,-1.266044151,-2.094511362,0.324251018,0.222300629
Landry Shamet,NYK,SG,47,762,-7.90578662,-0.223936988,-1.806075387,0.201949085,-1.007236939
Trae Young,ATL,PG,75,2739,-7.908378498,0.777682595,-1.404483801,-0.604386005,-1.941212591
Harrison Ingram,SAS,SF,5,35,-7.950845903,-1.171070592,-0.67680606,-2.275013909,0.222300629
James Johnson,IND,PF,5,37,-7.977225167,-1.261342789,0.321084057,-2.427443554,-0.451580538
Bryce McGowens,POR,SG,6,32,-8.044699174,-1.261180055,-1.036434748,-1.037793714,-0.037793856
Ron Harper Jr.,DET,SF,1,17,-8.073852284,-1.279105532,0.640252748,-3.579407794,-0.156018622
Jordan Hawkins,NOP,SG,55,1321,-8.153910862,-0.122129076,-0.47277865,-0.119328619,-2.142194693
Quenton Jackson,IND,PG,22,381,-8.2058881,-0.728710629,-1.366832198,-1.281210182,-0.226953482
Collin Sexton,UTA,SG,62,1758,-8.327868891,-0.037288969,-0.238253121,0.741065226,-2.910655673
Adam Flagler,OKC,SG,16,203,-8.379531428,-1.014213107,0.278668746,-0.80200949,-1.610183246
Chuma Okeke,CLE,PF,8,197,-8.387528401,-1.044149748,-1.598199353,-0.291233739,-0.274243389
Anton Watson,NYK,SF,5,22,-8.405498887,-1.266044151,-0.617879215,-1.564227013,-0.238775959
Bones Hyland,MIN,PG,21,239,-8.423336892,-1.046912453,-0.718450373,-0.92461064,-0.699852547
Liam Robbins,MIL,C,11,57,-8.439149228,-1.1939834,-0.20420324,-2.845851192,-0.02597138
Daniss Jenkins,DET,PG,3,23,-8.442525978,-1.268476199,-0.281736953,-2.357089327,-0.132373669
Brice Sensabaugh,UTA,SF,68,1432,-8.48890106,0.094198536,-1.026172622,-0.444111188,-1.846632778
Anfernee Simons,POR,SG,70,2292,-8.57223042,0.526786649,-1.776426196,0.027452024,-1.917567638
Mac McClung,ORL,SG,1,10,-8.717317916,-1.275772344,-0.232372423,-2.300581488,-0.286065865
RayJ Dennis,IND,PG,6,70,-8.795843478,-1.148315329,-0.858022077,-1.21042217,-0.463403014
Dariq Whitehead,BKN,SF,15,246,-8.968879933,-1.103630749,-0.103598554,-2.2705573,-0.664385117
