Player,Team,Pos,G,MP,DIS,,,
Charles Cooke,NOP,SG,7,38,-6.016197295,,,
Johnny O'Bryant III,CHA,PF,33,379,-6.028191257,,,
Solomon Hill,NOP,SF,12,187,-6.03120295,,,
Guerschon Yabusele,BOS,PF,29,235,-6.169395133,,,
Alec Peters,PHX,PF,19,225,-6.219160593,,,
Walt Lemon Jr.,NOP,PG,5,35,-6.235062982,,,
Darius Miller,NOP,SF,81,1944,-6.235693073,,,
Adreian Payne,ORL,PF,4,43,-6.31455209,,,
Mirza Teletovic,MIL,PF,10,159,-6.324657534,,,
Malcolm Miller,TOR,SF,13,126,-6.459767033,,,
Marshall Plumlee,MIL,C,6,52,-6.54264413,,,
Dwight Buycks,DET,PG,27,427,-6.54912659,,,
Tyler Cavanaugh,ATL,PF,37,518,-6.563498155,,,
Kadeem Allen,BOS,PG,11,107,-6.576038204,,,
Jamel Artis,ORL,SG,12,279,-6.607584374,,,
Brice Johnson,MEM,PF,13,98,-6.61657089,,,
Antonio Blakeney,CHI,SG,17,314,-6.644298203,,,
JR Smith,CLE,SG,80,2244,-6.647364615,,,
Henry Ellenson,DET,PF,32,329,-6.686553135,,,
Lorenzo Brown,TOR,PG,11,139,-6.696796329,,,
James Michael McAdoo,PHI,PF,3,18,-6.71948792,,,
Tony Bradley,UTA,C,8,29,-6.76602698,,,
Arron Afflalo,ORL,SG,51,682,-6.78415995,,,
Nik Stauskas,BKN,SG,36,523,-6.793507077,,,
Josh Smith,NOP,PF,3,12,-6.813889608,,,
Xavier Silas,BOS,SG,1,7,-6.829199254,,,
Patrick McCaw,GSW,SG,55,961,-6.871551063,,,
Rodney Purvis,ORL,SG,16,290,-6.877631266,,,
Wayne Ellington,MIA,SG,77,2041,-6.894085875,,,
Abdel Nader,BOS,SF,39,522,-6.983463824,,,
Jordan Clarkson,CLE,SG,81,1887,-6.99793244,,,
